institution,femaleDifferent,femaleSame,femaleLeft,maleDifferent,maleSame,maleLeft
456,27.142857142857142,64.28571428571429,8.571428571428571,15.196078431372548,76.9607843137255,7.8431372549019605
128,14.634146341463413,70.73170731707317,14.634146341463413,13.388734995383194,64.4506001846722,22.160664819944596
88,0.5703422053231939,99.42965779467681,0.0,0.9922231161169214,98.82005899705014,0.18771788683293109
430,14.047936085219707,79.76031957390146,6.191744340878828,8.718745951548128,83.197305350434,8.083948698017878
370,15.789473684210526,55.06072874493927,29.1497975708502,7.302904564315353,65.14522821576763,27.551867219917014
68,11.536926147704591,79.72055888223552,8.742514970059881,7.101892563563372,80.63467788185815,12.263429554578474
110,12.471507652230544,83.91403451644416,3.614457831325301,9.645434252193324,84.17172818356434,6.18283756424233
331,16.666666666666664,77.77777777777779,5.555555555555555,2.898550724637681,78.26086956521739,18.84057971014493
205,11.11111111111111,60.84656084656085,28.04232804232804,10.969637610186092,60.52889324191969,28.50146914789422
85,4.1751527494908345,87.78004073319755,8.04480651731161,4.872881355932203,85.74152542372882,9.385593220338983
114,27.27272727272727,57.14285714285714,15.584415584415584,17.843866171003718,66.54275092936803,15.613382899628252
435,11.76470588235294,72.72727272727273,15.508021390374333,9.331550802139038,74.31818181818181,16.350267379679146
361,15.85081585081585,52.91375291375291,31.23543123543124,11.209580838323353,60.76646706586827,28.023952095808387
263,30.0,20.0,50.0,18.75,43.75,37.5
216,30.138568129330256,37.99076212471132,31.87066974595843,21.54489765426565,48.961601673390106,29.49350067234424
238,15.625,72.39583333333334,11.979166666666668,10.30060120240481,75.31062124248497,14.388777555110222
295,16.417910447761194,70.1492537313433,13.432835820895523,10.583153347732182,66.95464362850973,22.4622030237581
249,14.523809523809526,72.85714285714285,12.619047619047619,10.06588579795022,79.09956076134699,10.834553440702782
369,0.0,100.0,0.0,0.0,100.0,0.0
424,16.666666666666664,53.333333333333336,30.0,17.27416798732171,55.30903328050714,27.416798732171156
112,15.306122448979592,70.91836734693877,13.77551020408163,6.265664160401002,75.18796992481202,18.546365914786968
64,7.9853479853479845,87.83882783882784,4.175824175824175,3.5007001400280053,90.0380076015203,6.461292258451691
200,2.8169014084507045,95.97585513078471,1.2072434607645874,3.0660377358490565,93.23899371069182,3.6949685534591192
157,6.234718826405868,87.77506112469437,5.990220048899755,5.057059744909376,85.18684269411501,9.75609756097561
6,25.63600782778865,68.68884540117418,5.6751467710371815,17.673579801623085,73.91042981665163,8.415990381725278
13,11.175785797438882,56.344586728754365,32.47962747380676,8.928325766955565,56.94043197138533,34.131242261659104
43,20.0,46.666666666666664,33.33333333333333,9.836065573770492,66.66666666666666,23.497267759562842
54,13.989637305699482,75.64766839378238,10.362694300518134,6.941001487357462,73.07882994546357,19.98016856717898
487,17.90310370931113,81.22634367903103,0.8705526116578349,17.59468438538206,81.48172757475083,0.9235880398671096
29,21.428571428571427,76.19047619047619,2.380952380952381,17.602040816326532,79.8469387755102,2.5510204081632653
